n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time, quick_cmp, quick_swaps, quick_time 
488, 57607, 57126, 60690, 118828, 484, 35852, 3733, 0, 2116, 7813, 1356, 3897
489, 57824, 57342, 62199, 119316, 483, 36462, 3745, 0, 2658, 7741, 1354, 4338
490, 57908, 57425, 60927, 119805, 485, 36253, 3749, 0, 2282, 7245, 1378, 3682
491, 58281, 57797, 60780, 120295, 484, 36336, 3774, 0, 2162, 7226, 1380, 3932
492, 58762, 58277, 61920, 120786, 486, 36386, 3774, 0, 2140, 7837, 1406, 3973
493, 59007, 58521, 63631, 121278, 479, 36410, 3781, 0, 2224, 7705, 1383, 4140
494, 59048, 58561, 64135, 121771, 485, 36750, 3788, 0, 2136, 7228, 1388, 4069
495, 59234, 58746, 61743, 122265, 485, 37435, 3808, 0, 2149, 7319, 1408, 4016
496, 59578, 59089, 62989, 122760, 490, 38003, 3811, 0, 2389, 7338, 1367, 3826
497, 59838, 59348, 63189, 123256, 490, 36910, 3820, 0, 2231, 7409, 1428, 4285
498, 60039, 59548, 63578, 123753, 488, 38176, 3832, 0, 2169, 7220, 1434, 3853
499, 60278, 59786, 63655, 124251, 488, 37758, 3841, 0, 2189, 7456, 1401, 4103
500, 60441, 59948, 64500, 124750, 494, 37133, 3855, 0, 2179, 7751, 1424, 3964
501, 60642, 60148, 64121, 125250, 496, 37792, 3863, 0, 2262, 7877, 1423, 4108
502, 61134, 60639, 65538, 125751, 496, 37853, 3858, 0, 2692, 8394, 1390, 4607
503, 61179, 60683, 64497, 126253, 498, 38587, 3868, 0, 2216, 7692, 1412, 4166
504, 61482, 60985, 66704, 126756, 500, 37891, 3903, 0, 2358, 7415, 1433, 5065
505, 61583, 61085, 64185, 127260, 500, 39578, 3906, 0, 2383, 7477, 1435, 4020
506, 61942, 61443, 64500, 127765, 501, 38446, 3910, 0, 2206, 7967, 1419, 4075
507, 62295, 61795, 65659, 128271, 501, 39687, 3905, 0, 2222, 7502, 1420, 4163
508, 62685, 62184, 67395, 128778, 500, 39441, 3924, 0, 2803, 7840, 1428, 4209
509, 63023, 62521, 66847, 129286, 503, 40777, 3928, 0, 2284, 8053, 1433, 4246
510, 63265, 62762, 66465, 129795, 504, 39092, 3939, 0, 2225, 8039, 1455, 4184
511, 63291, 62787, 68466, 130305, 505, 40329, 3935, 0, 2260, 8419, 1438, 4308
512, 63644, 63139, 68340, 130816, 504, 38745, 3957, 0, 2523, 7807, 1439, 4054
513, 64116, 63610, 68266, 131328, 506, 39589, 3967, 0, 2248, 8125, 1411, 4323
514, 64133, 63626, 67911, 131841, 508, 40312, 3979, 0, 2267, 8264, 1451, 4623
515, 64411, 63903, 67813, 132355, 504, 39422, 3997, 0, 2267, 8270, 1448, 4424
516, 64865, 64356, 67820, 132870, 505, 39744, 3991, 0, 2273, 8168, 1458, 4694
517, 65286, 64776, 72518, 133386, 509, 40869, 4008, 0, 2306, 7778, 1458, 4106
518, 65525, 65014, 72137, 133903, 511, 40525, 4018, 0, 2290, 7796, 1457, 4099
519, 65633, 65121, 72792, 134421, 512, 40382, 4024, 0, 2882, 7864, 1471, 4107
520, 66017, 65504, 72153, 134940, 517, 40548, 4015, 0, 2393, 8539, 1449, 4335
521, 66514, 66000, 75107, 135460, 515, 40522, 4028, 0, 2384, 8257, 1485, 4467
522, 66648, 66133, 73262, 135981, 517, 41998, 4042, 0, 2665, 8099, 1484, 4101
523, 67065, 66549, 73969, 136503, 517, 40840, 4058, 0, 2569, 8083, 1470, 4238
524, 67150, 66633, 74793, 137026, 517, 41183, 4070, 0, 2323, 8632, 1460, 4356
525, 67218, 66700, 74327, 137550, 520, 41239, 4086, 0, 2704, 8641, 1470, 4606
526, 67512, 66993, 75487, 138075, 519, 42178, 4087, 0, 2535, 8065, 1479, 4148
527, 67993, 67473, 74338, 138601, 519, 42779, 4100, 0, 2334, 8697, 1464, 4357
528, 68223, 67702, 74249, 139128, 519, 42049, 4103, 0, 2345, 7901, 1539, 4586
529, 68454, 67932, 75858, 139656, 523, 41922, 4116, 0, 2487, 7960, 1540, 4852
530, 68637, 68114, 75112, 140185, 523, 42647, 4132, 0, 2350, 8120, 1533, 4402
531, 69139, 68615, 75514, 140715, 525, 42897, 4132, 0, 2667, 8287, 1511, 4404
532, 69502, 68977, 76165, 141246, 526, 57122, 4135, 0, 4192, 8121, 1523, 5553
533, 69919, 69393, 76260, 141778, 526, 42126, 4146, 0, 2363, 7964, 1532, 4268
534, 70080, 69553, 75895, 142311, 527, 43295, 4160, 0, 2381, 8145, 1531, 4537
535, 70591, 70063, 74371, 142845, 532, 49155, 4176, 0, 2540, 8562, 1512, 4862
536, 70701, 70172, 73931, 143380, 530, 43811, 4162, 0, 2512, 8274, 1524, 4237
537, 70708, 70178, 75313, 143916, 532, 44221, 4173, 0, 2401, 8306, 1532, 4757
538, 70864, 70333, 76358, 144453, 530, 44970, 4179, 0, 3020, 8265, 1547, 4579
539, 71311, 70779, 85827, 144991, 530, 49988, 4204, 0, 2816, 8492, 1535, 4638
540, 71551, 71018, 78451, 145530, 535, 47142, 4225, 0, 2566, 8267, 1563, 5601
541, 71690, 71156, 76964, 146070, 537, 46287, 4236, 0, 2737, 8377, 1558, 4472
542, 72072, 71537, 80090, 146611, 538, 45017, 4244, 0, 2865, 8519, 1562, 4667
543, 72551, 72015, 78136, 147153, 533, 45211, 4244, 0, 2528, 8716, 1550, 4981
544, 72660, 72123, 78753, 147696, 539, 45085, 4273, 0, 4122, 8516, 1533, 5215
545, 73016, 72478, 78926, 148240, 537, 44257, 4283, 0, 2791, 8327, 1563, 4400
546, 73377, 72838, 79365, 148785, 541, 49928, 4272, 0, 2633, 8256, 1560, 4510
547, 73392, 72852, 81903, 149331, 541, 49643, 4293, 0, 2707, 8455, 1567, 4367
548, 73399, 72858, 80521, 149878, 541, 46116, 4299, 0, 2789, 8583, 1572, 4681
549, 73823, 73281, 79706, 150426, 541, 45601, 4307, 0, 2742, 8436, 1544, 4523
550, 74018, 73475, 80984, 150975, 541, 46979, 4323, 0, 2451, 8276, 1581, 5233
551, 74291, 73747, 81020, 151525, 544, 45770, 4328, 0, 3724, 8141, 1571, 4981
552, 74371, 73826, 80606, 152076, 544, 45983, 4334, 0, 2471, 8214, 1607, 4301
553, 74564, 74018, 81307, 152628, 545, 46159, 4342, 0, 2466, 8289, 1597, 4565
554, 74914, 74367, 80380, 153181, 549, 46700, 4348, 0, 2467, 8189, 1589, 4446
555, 75396, 74848, 80204, 153735, 547, 45421, 4363, 0, 2879, 8977, 1569, 5130
556, 75576, 75027, 81646, 154290, 548, 46908, 4378, 0, 2838, 8588, 1594, 4467
557, 76119, 75569, 81623, 154846, 547, 47779, 4380, 0, 2484, 8769, 1586, 5174
558, 76129, 75578, 80811, 155403, 548, 47394, 4371, 0, 2564, 8560, 1638, 4714
559, 76681, 76129, 81790, 155961, 556, 48579, 4401, 0, 2564, 8948, 1603, 4544
560, 76863, 76310, 81393, 156520, 553, 47127, 4389, 0, 2596, 8532, 1606, 4623
561, 77067, 76513, 83708, 157080, 549, 48160, 4403, 0, 2570, 8670, 1618, 5015
562, 77201, 76646, 81413, 157641, 554, 48159, 4407, 0, 2501, 8867, 1611, 5009
563, 77480, 76924, 83820, 158203, 555, 48197, 4430, 0, 2513, 8612, 1623, 4590
564, 77896, 77339, 82852, 158766, 559, 48554, 4431, 0, 2765, 8549, 1597, 4557
565, 78429, 77871, 84212, 159330, 561, 47848, 4444, 0, 2676, 8899, 1612, 4772
566, 78465, 77906, 82390, 159895, 562, 50452, 4462, 0, 2537, 8955, 1640, 4678
567, 78692, 78132, 85692, 160461, 560, 48361, 4470, 0, 2672, 8582, 1665, 4758
568, 78735, 78174, 92178, 161028, 564, 50258, 4483, 0, 2691, 8778, 1620, 4463
569, 79248, 78686, 82956, 161596, 563, 48483, 4491, 0, 3019, 9002, 1614, 4721
570, 79483, 78920, 86449, 162165, 561, 49983, 4485, 0, 2619, 8695, 1641, 5588
571, 79918, 79354, 84734, 162735, 561, 49733, 4506, 0, 2599, 8926, 1626, 4723
572, 80441, 79876, 85570, 163306, 568, 49505, 4529, 0, 2887, 9428, 1634, 4807
573, 80799, 80233, 87121, 163878, 566, 49909, 4534, 0, 2618, 8993, 1653, 4754
574, 81321, 80754, 87983, 164451, 563, 49965, 4556, 0, 2940, 9231, 1644, 5043
575, 81779, 81211, 86952, 165025, 567, 50632, 4554, 0, 2882, 8789, 1654, 4664
576, 82153, 81584, 89630, 165600, 571, 51076, 4553, 0, 2636, 8566, 1682, 4690
577, 82670, 82100, 89217, 166176, 570, 49879, 4564, 0, 2596, 9434, 1623, 4743
578, 83164, 82593, 89879, 166753, 572, 51908, 4572, 0, 2670, 9245, 1645, 5341
579, 83188, 82616, 90211, 167331, 573, 50795, 4579, 0, 2721, 8951, 1662, 4686
580, 83543, 82970, 94800, 167910, 575, 54244, 4595, 0, 3135, 9170, 1642, 5450
581, 83801, 83227, 93932, 168490, 571, 52230, 4602, 0, 3231, 8764, 1653, 4608
582, 84361, 83786, 88595, 169071, 577, 53105, 4621, 0, 2706, 9665, 1665, 4996
583, 84648, 84072, 91206, 169653, 577, 53141, 4616, 0, 2809, 9040, 1702, 4717
584, 84660, 84083, 90653, 170236, 576, 53438, 4647, 0, 2708, 9364, 1676, 5598
585, 84829, 84251, 89562, 170820, 573, 52485, 4651, 0, 3005, 9460, 1662, 4819
586, 85383, 84804, 90730, 171405, 578, 54580, 4656, 0, 2786, 9433, 1671, 4873
587, 85563, 84983, 91073, 171991, 579, 52753, 4669, 0, 2783, 8929, 1715, 5315
588, 85869, 85288, 89221, 172578, 582, 52387, 4674, 0, 2774, 9020, 1727, 4892
589, 85964, 85382, 90402, 173166, 583, 55650, 4692, 0, 2746, 9125, 1709, 4868
590, 86545, 85962, 90889, 173755, 584, 53595, 4710, 0, 2747, 9562, 1681, 5541
591, 86889, 86305, 89461, 174345, 586, 53064, 4723, 0, 2820, 8894, 1737, 4664
592, 87434, 86849, 94292, 174936, 583, 53090, 4705, 0, 2679, 9960, 1703, 5313
593, 88020, 87434, 96424, 175528, 586, 53420, 4712, 0, 2807, 9698, 1723, 4943
594, 88607, 88020, 97044, 176121, 590, 55535, 4715, 0, 2794, 9427, 1733, 4932
595, 88848, 88260, 96364, 176715, 590, 54490, 4733, 0, 2965, 9620, 1700, 5213
596, 89092, 88503, 97069, 177310, 587, 54155, 4738, 0, 2692, 9206, 1694, 5454
597, 89542, 88952, 96465, 177906, 590, 54493, 4752, 0, 2949, 9210, 1702, 4849
598, 89606, 89015, 97313, 178503, 591, 55269, 4772, 0, 2718, 9060, 1739, 4685
599, 90146, 89554, 99077, 179101, 592, 54644, 4771, 0, 2822, 9573, 1726, 4875
600, 90335, 89742, 97315, 179700, 594, 54506, 4789, 0, 2932, 9566, 1753, 5042
601, 90453, 89859, 103606, 180300, 594, 54578, 4797, 0, 2828, 9214, 1755, 5033
602, 91004, 90409, 97705, 180901, 597, 55428, 4805, 0, 2972, 10048, 1708, 5041
603, 91169, 90573, 99888, 181503, 596, 54962, 4810, 0, 2915, 9093, 1757, 4711
604, 91532, 90935, 99303, 182106, 601, 56689, 4807, 0, 3180, 9429, 1734, 4760
605, 91625, 91027, 98946, 182710, 599, 55449, 4809, 0, 2961, 9576, 1737, 4898
606, 91984, 91385, 99593, 183315, 599, 57549, 4826, 0, 3072, 9930, 1765, 5035
607, 92069, 91469, 107844, 183921, 600, 56067, 4850, 0, 2749, 9609, 1757, 5117
608, 92359, 91758, 104139, 184528, 604, 58066, 4855, 0, 3705, 9534, 1738, 4926
609, 92845, 92243, 99888, 185136, 598, 57601, 4866, 0, 2840, 9775, 1742, 5187
610, 93129, 92526, 101072, 185745, 596, 56117, 4877, 0, 2763, 9794, 1757, 5046
611, 93522, 92918, 101010, 186355, 608, 56912, 4875, 0, 2835, 9414, 1797, 5052
612, 93986, 93381, 101394, 186966, 603, 56791, 4899, 0, 2986, 9667, 1757, 5072
613, 94534, 93928, 104747, 187578, 607, 63744, 4916, 0, 3165, 9774, 1778, 5584
614, 94804, 94197, 109050, 188191, 607, 63049, 4920, 0, 2972, 9652, 1816, 5388
615, 95077, 94469, 106091, 188805, 605, 57165, 4932, 0, 2838, 9587, 1780, 5051
616, 95460, 94851, 104849, 189420, 609, 61948, 4945, 0, 3168, 9375, 1783, 5953
617, 96021, 95411, 101272, 190036, 611, 58573, 4947, 0, 2881, 9881, 1777, 5164
618, 96432, 95821, 104820, 190653, 609, 59149, 4960, 0, 2796, 9621, 1805, 5366
619, 96635, 96023, 103524, 191271, 613, 59104, 4982, 0, 2887, 9663, 1812, 5011
620, 96646, 96033, 106007, 191890, 613, 59003, 4969, 0, 2809, 9894, 1805, 5886
621, 96968, 96354, 105471, 192510, 617, 60623, 4976, 0, 2902, 10000, 1771, 5181
622, 97064, 96449, 106820, 193131, 617, 59372, 4980, 0, 2867, 9669, 1830, 4980
623, 97511, 96895, 108808, 193753, 618, 62337, 5001, 0, 3231, 9660, 1821, 5211
624, 97696, 97079, 133333, 194376, 618, 59512, 5024, 0, 2886, 10006, 1829, 5200
625, 98147, 97529, 100447, 195000, 618, 68793, 5034, 0, 2848, 9488, 1838, 5036
626, 98681, 98062, 107093, 195625, 622, 60999, 5043, 0, 2930, 9911, 1813, 5175
627, 98758, 98138, 107317, 196251, 620, 61524, 5044, 0, 3093, 9847, 1838, 5248
628, 98851, 98230, 106339, 196878, 622, 60278, 5043, 0, 2930, 10294, 1812, 6017
629, 99176, 98554, 107286, 197506, 622, 62107, 5055, 0, 2956, 10410, 1810, 5505
630, 99581, 98958, 106113, 198135, 621, 62470, 5075, 0, 2984, 10453, 1840, 5239
631, 99958, 99334, 108225, 198765, 627, 62171, 5091, 0, 2927, 9989, 1858, 5190
632, 100110, 99485, 108584, 199396, 625, 62064, 5089, 0, 3313, 9955, 1858, 5094
633, 100431, 99805, 109127, 200028, 631, 61915, 5096, 0, 2976, 10426, 1840, 5360
634, 100917, 100290, 107988, 200661, 625, 62715, 5108, 0, 2889, 9680, 1860, 4977
635, 101111, 100483, 107309, 201295, 625, 60917, 5110, 0, 3719, 9730, 1867, 4996
636, 101651, 101022, 108729, 201930, 629, 61165, 5121, 0, 2991, 10126, 1859, 5139
637, 101765, 101135, 109211, 202566, 628, 62379, 5143, 0, 3138, 10363, 1854, 5599
638, 102066, 101435, 108033, 203203, 630, 63630, 5141, 0, 3366, 9937, 1873, 5234
639, 102544, 101912, 108146, 203841, 631, 62425, 5177, 0, 2952, 10102, 1865, 5930
640, 102630, 101997, 107269, 204480, 634, 62815, 5171, 0, 3089, 9968, 1852, 5282
641, 102873, 102239, 107554, 205120, 636, 63672, 5179, 0, 3027, 10058, 1891, 5695
